"{0.0003999999952943584, 0.000626475064791434, 0.000020000000782813218}","{{ϕ, 12, θ, 88}, {ϕ, -80, θ, 47}, {ϕ, 104, θ, 43}, {12.040780884268155, 20.102714599550538, 29.23841954851358}}"
"{-0.0004, 0.0005, 0.00002}","{{ϕ, 87, θ, 85}, {ϕ, 3, θ, 138}, {ϕ, -8, θ, 49}, {26.991920501909522, 12.41655513720079, 18.519045648369186}}"
"{-0.0004, 0.0005, 0.00002}","{{ϕ, 16, θ, 89}, {ϕ, -75, θ, 44}, {ϕ, 107, θ, 46}, {12.170440697187694, 18.296874699576374, 26.549921958598254}}"
"{-0.0004, 0.0005, 0.00002}","{{ϕ, 115, θ, 91}, {ϕ, 26, θ, 40}, {ϕ, -156, θ, 50}, {18.56531907785668, 11.42354585377744, 26.114975972576765}}"
"{-0.0004, 0.0005, 0.00002}","{{ϕ, 120, θ, 93}, {ϕ, 34, θ, 37}, {ϕ, -152, θ, 54}, {19.157441504030146, 10.298591938874605, 25.719219324143275}}"
"{0.0003999999999282303, 0.0012999210926888114, 0.00030447382465930496}","{{ϕ, 178, θ, 91}, {ϕ, 88, θ, 89}, {ϕ, -126, θ, 1}, {16.522562339961596, 61.73128586407135, 65.21317393421938}}"
"{0.0003999999997964565, 0.0012117818638532828, 0.0004077782169671628}","{{ϕ, 179, θ, 89}, {ϕ, 89, θ, 91}, {ϕ, 51, θ, 1}, {15.268060267120292, 45.83519718783373, 49.845017027162136}}"
"{0.0003999999999740881, 0.0011162758998637212, 0.0005545906807328629}","{{ϕ, 177, θ, 91}, {ϕ, -81, θ, 176}, {ϕ, 87, θ, 94}, {13.556847751574878, 37.562263236042305, 33.05652521366309}}"
"{0.0003999999881033071, 0.0010332876263959507, 0.000759700259549935}","{{ϕ, -174, θ, 89}, {ϕ, 88, θ, 7}, {ϕ, -84, θ, 83}, {11.36273612874777, 28.23240657615701, 23.263065155101074}}"
"{0.00039999999929154155, 0.0010201549322355152, 0.0009999999519346467}","{{ϕ, 173, θ, 93}, {ϕ, -83, θ, 168}, {ϕ, 82, θ, 101}, {9.05021412882649, 22.8059011027113, 16.376941464807818}}"
